Kazakhstan,0.94,1.06,0.94,1
Barbados,1.01,0.99,0.94,1
Kenya,1.02,0.98,0.94,1
Malawi,1.02,0.98,0.94,1
Mozambique,1.02,0.98,0.94,1
Qatar,1.02,0.98,0.94,1
"South Africa",1.02,0.98,0.94,1
Bahamas,1.03,0.97,0.94,1
Bahrain,1.03,0.97,0.94,1
Botswana,1.03,0.97,0.94,1
"Burkina Faso",1.03,0.97,0.94,1
Burundi,1.03,0.97,0.94,1
Cameroon*,1.03,0.97,0.94,1
"Cape Verde",1.03,0.97,0.94,1
"C̫te d'Ivoire",1.03,0.97,0.94,1
Ethiopia,1.03,0.97,0.94,1
"Gambia, The*",1.03,0.97,0.94,1
Ghana,1.03,0.97,0.94,1
Guinea,1.03,0.97,0.94,1
Lesotho,1.03,0.97,0.94,1
Liberia,1.03,0.97,0.94,1
Madagascar,1.03,0.97,0.94,1
Mali,1.03,0.97,0.94,1
Mauritania,1.03,0.97,0.94,1
Namibia,1.03,0.97,0.94,1
Nigeria,1.03,0.97,0.94,1
Rwanda,1.03,0.97,0.94,1
Senegal,1.03,0.97,0.94,1
Swaziland,1.03,0.97,0.94,1
Tanzania,1.03,0.97,0.94,1
"Trinidad and Tobago",1.03,0.97,0.94,1
Uganda,1.03,0.97,0.94,1
Zambia,1.03,0.97,0.94,1
Zimbabwe,1.03,0.97,0.94,1
Bangladesh,1.04,0.96,0.94,1
Chad,1.04,0.96,0.94,1
Chile,1.04,0.96,0.94,1
"Dominican Republic",1.04,0.96,0.94,1
"Lao PDR",1.04,0.96,0.94,1
Nepal,1.04,0.96,0.94,1
"Sri Lanka",1.04,0.96,0.94,1
Uruguay,1.04,0.96,0.94,1
Algeria,1.05,0.95,0.94,1
Angola,1.05,0.95,0.94,1
Argentina,1.05,0.95,0.94,1
Austria,1.05,0.95,0.94,1
Belgium,1.05,0.95,0.94,1
Belize,1.05,0.95,0.94,1
Benin*,1.05,0.95,0.94,1
Bhutan,1.05,0.95,0.94,1
Bolivia,1.05,0.95,0.94,1
Brazil,1.05,0.95,0.94,1
"Brunei Darussalam",1.05,0.95,0.94,1
Cambodia,1.05,0.95,0.94,1
"Costa Rica",1.05,0.95,0.94,1
Cyprus,1.05,0.95,0.94,1
Ecuador,1.05,0.95,0.94,1
Egypt,1.05,0.95,0.94,1
"El Salvador",1.05,0.95,0.94,1
Estonia,1.05,0.95,0.94,1
Fiji,1.05,0.95,0.94,1
Finland,1.05,0.95,0.94,1
France,1.05,0.95,0.94,1
Guatemala,1.05,0.95,0.94,1
Guyana,1.05,0.95,0.94,1
Honduras,1.05,0.95,0.94,1
Iceland,1.05,0.95,0.94,1
Indonesia,1.05,0.95,0.94,1
"Iran, Islamic Rep.",1.05,0.95,0.94,1
Israel,1.05,0.95,0.94,1
Jamaica,1.05,0.95,0.94,1
Kuwait,1.05,0.95,0.94,1
Latvia,1.05,0.95,0.94,1
Lebanon,1.05,0.95,0.94,1
Maldives,1.05,0.95,0.94,1
Mauritius,1.05,0.95,0.94,1
Mexico,1.05,0.95,0.94,1
Mongolia,1.05,0.95,0.94,1
Morocco,1.05,0.95,0.94,1
Netherlands,1.05,0.95,0.94,1
"New Zealand",1.05,0.95,0.94,1
Nicaragua,1.05,0.95,0.94,1
Oman,1.05,0.95,0.94,1
Pakistan,1.05,0.95,0.94,1
Panama,1.05,0.95,0.94,1
Paraguay,1.05,0.95,0.94,1
Peru,1.05,0.95,0.94,1
Philippines,1.05,0.95,0.94,1
"Saudi Arabia",1.05,0.95,0.94,1
Suriname,1.05,0.95,0.94,1
Tajikistan,1.05,0.95,0.94,1
Thailand,1.05,0.95,0.94,1
Turkey,1.05,0.95,0.94,1
"United Arab Emirates",1.05,0.95,0.94,1
"United Kingdom",1.05,0.95,0.94,1
"United States",1.05,0.95,0.94,1
Venezuela,1.05,0.95,0.94,1
Yemen,1.05,0.95,0.94,1
Australia,1.06,0.94,0.94,99
Belarus,1.06,0.94,0.94,99
Bulgaria,1.06,0.94,0.94,99
Canada,1.06,0.94,0.94,99
Colombia,1.06,0.94,0.94,99
Croatia,1.06,0.94,0.94,99
Cuba,1.06,0.94,0.94,99
"Czech Republic",1.06,0.94,0.94,99
Denmark,1.06,0.94,0.94,99
Germany,1.06,0.94,0.94,99
Greece,1.06,0.94,0.94,99
Hungary,1.06,0.94,0.94,99
Ireland,1.06,0.94,0.94,99
Italy,1.06,0.94,0.94,99
Japan,1.06,0.94,0.94,99
Jordan,1.06,0.94,0.94,99
Lithuania,1.06,0.94,0.94,99
Luxembourg,1.06,0.94,0.94,99
Malta,1.06,0.94,0.94,99
Moldova,1.06,0.94,0.94,99
Montenegro,1.06,0.94,0.94,99
Norway,1.06,0.94,0.94,99
Poland,1.06,0.94,0.94,99
Romania,1.06,0.94,0.94,99
"Russian Federation",1.06,0.94,0.94,99
Sweden,1.06,0.94,0.94,99
Switzerland,1.06,0.94,0.94,99
Syria,1.06,0.94,0.94,99
Ukraine,1.06,0.94,0.94,99
"Korea, Rep.",1.07,0.93,0.93,128
"Kyrgyz Republic",1.07,0.93,0.93,128
Malaysia,1.07,0.93,0.93,128
Portugal,1.07,0.93,0.93,128
Serbia,1.07,0.93,0.93,128
Singapore,1.07,0.93,0.93,128
"Slovak Republic",1.07,0.93,0.93,128
Slovenia,1.07,0.93,0.93,128
Spain,1.07,0.93,0.93,128
Tunisia,1.07,0.93,0.93,128
Georgia,1.08,0.93,0.93,138
"Macedonia, FYR",1.08,0.93,0.93,138
Albania,1.10,0.91,0.91,140
Azerbaijan,1.11,0.90,0.90,141
Vietnam,1.11,0.90,0.90,141
India,1.12,0.89,0.89,143
Armenia,1.13,0.88,0.88,144
China,1.15,0.87,0.87,145
